property_name,entity,city,county,resolution,meeting_date,item_type,minutes_confirmed,investor_1,nonprofit_partner,total_units,rent_restricted_pct,term_years,city_cut,grant_description
Bernardine Apartments,"Castle Rock Bernardine Apartments, LP",San Bernardino,San Bernardino,23-202,2023-07-14,authorize,True,,,,,,,
2025 New Jersey Apartments,"2025 NJ, LP",Los Angeles,Los Angeles,23-203,2023-07-14,authorize,True,,,,,,,
Alvarado Streets Apartments,"Alvarado Affordable Associates, L.P.",Los Angeles,Los Angeles,23-204,2023-07-14,authorize,True,Taylor Equities,Kingdom Development,24,100% at 80% AMI,20,3600.0,Charitable Affordable Housing Grant for an Affordable
Bernardine Apartments,"Castle Rock Bernardine Apartments, LP",San Bernardino,San Bernardino,23-222,2023-08-04,authorize,True,,,,,,,
2025 New Jersey Apartments,"2025 NJ, LP",Los Angeles,Los Angeles,23-223,2023-08-04,authorize,True,Oak Road,Step Forward Communities,15,100% at 80% AMI,20,2250.0,Charitable Affordable Housing Grant for an Affordable
Mariposa Club Apartments,"Mariposa Club Apartments I, LP",Mountain View,Santa Clara,23-224,2023-08-04,authorize,True,Prometheus Real Estate Group,Hearthstone Housing Foundation,48,100% at 80% AMI,20,7500.0,Charitable Affordable Housing Grant for an Affordable
City View aka Outlook at Mission Valley Apartments,"Mission Valley Preservation LP, a limited partnership",San Diego,San Diego,23-275,2023-08-25,authorize,True,,,,,,,
381 Turk Street Apartments,"381 Turk Street Associates, a California limited partnership",,San Francisco,23-307,2023-09-15,authorize,True,Mosser Capital,"Kingdom Development, Inc.",32,41% at 80% AMI,55,,Charitable Affordable Housing Grant for an Affordable
Townhomes at Gading Apartments,"SFF 2, LLC, a California limited liability company",Hayward,Alameda,23-370,2023-12-08,authorize,True,The Sobrato Organization,Sobrato Foundation,61,100% at 80% AMI,20,9150.0,Charitable Affordable Housing Grant for an Affordable
1317 S. Grand Apartments,"1317 SGA QOZB, LP",Los Angeles,Los Angeles,23-371,2023-12-08,authorize,True,Housing Diversity Corporation,PEP Housing,147,100% at 80% AMI,20,22050.0,Charitable Affordable Housing Grant for an Affordable
1411 S. Flower Apartments,Housing Diversity,Los Angeles,Los Angeles,23-372,2023-12-08,authorize,True,Housing Diversity Corporation,PEP Housing,227,100% at 80% AMI,20,34050.0,Charitable Affordable Housing Grant for an Affordable
10705 Avalon Blvd Apartments,"BIF NON OZ 10705 Avalon Blvd, LP, a California limited partnership",Los Angeles,Los Angeles,24-040,2024-02-02,authorize,True,SoLa Impact,Housing On Merit,69,78% at 80% AMI,20,10350.0,Charitable Affordable Housing Grant for an Affordable
7518 Hoover St. Apartments,"BIF NON OZ 7518 S Hoover St, LP, a Delaware limited partnership",Los Angeles,Los Angeles,24-041,2024-02-02,authorize,True,,,,,,,
820 MacArthur Apartments,"2019 Ozone Affordable Housing – 820 MacArthur, LP",Oakland,Alameda,24-042,2024-02-02,authorize,True,,,,,,,
820 MacArthur Apartments,"2019 Ozone Affordable Housing – 820 MacArthur, LP",Oakland,Alameda,24-052,2024-02-23,authorize,True,"Riaz, Inc.",AOF Pacific,166,100% at 80% AMI,20,24900.0,Charitable Affordable Housing Grant for an Affordable Rental
